statePostal,last,party,candidateID,votes
AK,Trump,GOP,6638,189951
AK,Biden,Dem,7073,153778
AK,Jorgensen,Lib,7074,8897
AK,Ventura,Grn,7083,2673
AK,Blankenship,CST,7076,1127
AK,Pierce,PEC,7078,825
AK,De La Fuente,ALP,7077,318
AL,Trump,GOP,5063,1441170
AL,Biden,Dem,5755,849624
AL,Jorgensen,Lib,5849,25176
AR,Trump,GOP,12686,760647
AR,Biden,Dem,13356,423932
AR,Jorgensen,Lib,13753,13133
AR,West,Ind,13758,4099
AR,Hawkins,Grn,13754,2980
AR,Collins,Ind,13769,2812
AR,Pierce,Ind,13757,2141
AR,Blankenship,CST,13751,2108
AR,Carroll,ASP,13750,1713
AR,Gammon,Ind,13756,1475
AR,Myers,Oth,13759,1372
AR,La Riva,PSL,13752,1336
AR,De La Fuente,Ind,13755,1321
AZ,Biden,Dem,10391,1672143
AZ,Trump,GOP,9677,1661686
AZ,Jorgensen,Lib,10407,51465
CA,Biden,Dem,22519,11110640
CA,Trump,GOP,21873,6006520
CA,Jorgensen,Lib,22526,187910
CA,Hawkins,Grn,22518,81032
CA,De La Fuente,AIP,22525,60162
CA,La Riva,PFP,22287,51038
CO,Biden,Dem,13659,1804352
CO,Trump,GOP,13676,1364607
CO,Jorgensen,Lib,13669,52460
CO,Hawkins,Grn,13660,8986
CO,West,Una,13670,8089
CO,Blankenship,AmC,13697,5061
CO,Hammons,Uty,13661,2730
CO,Carroll,ASP,13677,2515
CO,Charles,Una,13664,2011
CO,La Riva,PSL,13672,1035
CO,Kopitke,IAP,13666,762
CO,De La Fuente,ALP,13671,636
CO,McHugh,Una,13662,614
CO,Pierce,Una,13667,572
CO,Collins,Pro,13674,568
CO,Jacob-Fambro,Una,13663,495
CO,Hunter,Prg,13668,379
CO,Huber,AVP,13675,355
CO,Kennedy,SWP,13665,354
CO,Kishore,SEP,13678,196
CO,Scott,Una,13673,175
CT,Biden,Dem,21813,1080831
CT,Trump,GOP,21816,714717
CT,Jorgensen,Lib,22046,20230
CT,Hawkins,Grn,22047,7538
DC,Biden,Dem,10358,317323
DC,Trump,GOP,10361,18586
DC,Jorgensen,Lib,10435,2036
DC,Hawkins,DCG,10382,1726
DC,La Riva,Ind,10383,855
DC,Pierce,Ind,10384,693
DE,Biden,Dem,10797,296268
DE,Trump,GOP,10612,200603
DE,Jorgensen,Lib,10799,5000
DE,Hawkins,Grn,10800,2139
FL,Trump,GOP,21369,5668731
FL,Biden,Dem,22906,5297045
FL,Jorgensen,Lib,22908,70324
FL,Hawkins,Grn,22909,14721
FL,De La Fuente,RP,22907,5966
FL,La Riva,PSL,22910,5712
FL,Blankenship,CST,22921,3902
GA,Biden,Dem,21510,2473633
GA,Trump,GOP,20740,2461854
GA,Jorgensen,Lib,22207,62229
HI,Biden,Dem,19883,366130
HI,Trump,GOP,19882,196864
HI,Jorgensen,Lib,19891,5539
HI,Hawkins,Grn,19892,3822
HI,Pierce,SHP,19897,1183
HI,Blankenship,CST,19898,931
IA,Trump,GOP,22627,897672
IA,Biden,Dem,23547,759061
IA,Jorgensen,Lib,23549,19637
IA,West,NPD,23551,3210
IA,Hawkins,Grn,23546,3075
IA,Blankenship,CST,23545,1707
IA,De La Fuente,ALP,23552,1082
IA,King,Oth,23550,546
IA,Pierce,NPD,23548,544
ID,Trump,GOP,18718,554119
ID,Biden,Dem,19379,287021
ID,Jorgensen,Lib,19397,16404
ID,West,Ind,19401,3632
ID,Pierce,Ind,19400,2808
ID,Blankenship,CST,19399,1806
ID,De La Fuente,Ind,19398,1491
IL,Biden,Dem,28469,3471915
IL,Trump,GOP,28467,2446891
IL,Jorgensen,Lib,28854,66544
IL,Hawkins,Grn,28851,30494
IL,Carroll,ASP,28852,9548
IL,La Riva,PSL,28853,8046
IN,Trump,GOP,21368,1729519
IN,Biden,Dem,22147,1242416
IN,Jorgensen,Lib,22392,59232
KS,Trump,GOP,6603,771406
KS,Biden,Dem,7454,570323
KS,Jorgensen,Lib,7460,30574
KY,Trump,GOP,5609,1326646
KY,Biden,Dem,6175,772474
KY,Jorgensen,Lib,6368,26234
KY,West,Ind,6375,6483
KY,Pierce,Ind,6370,3599
LA,Trump,GOP,25078,1255776
LA,Biden,Dem,25061,856034
LA,Jorgensen,Lib,25090,21645
LA,West,Oth,25094,4897
LA,Carroll,ASP,25085,2497
LA,Simmons,Oth,25086,1626
LA,Boddie,Oth,25087,1125
LA,La Riva,PSL,25092,987
LA,Blankenship,CST,25088,860
LA,Pierce,Oth,25089,749
LA,Hoefling,Oth,25091,668
LA,Hammons,Uty,25095,662
LA,Kennedy,SWP,25093,536
MA,Biden,Dem,35087,2382202
MA,Trump,GOP,35088,1167202
MA,Jorgensen,Lib,35105,47013
MA,Hawkins,Grn,35104,18658
MD,Biden,Dem,31626,1985023
MD,Trump,GOP,31633,976414
MD,Jorgensen,Lib,31827,33488
MD,Hawkins,Grn,31816,15799
MD,Segal,BdR,31817,5884
MI,Biden,Dem,37091,2804040
MI,Trump,GOP,35597,2649852
MI,Jorgensen,Lib,37092,60381
MI,Hawkins,Grn,37095,13718
MI,Blankenship,UST,37094,7235
MI,De La Fuente,NLP,37093,2986
MN,Biden,Dem,34605,1717077
MN,Trump,GOP,34606,1484065
MN,Jorgensen,Lib,34611,34976
MN,Hawkins,Grn,34618,10033
MN,West,Ind,34616,7940
MN,Pierce,Ind,34615,5651
MN,De La Fuente,ALP,34619,5611
MN,La Riva,PSL,34614,1210
MN,Kennedy,SWP,34613,643
MO,Trump,GOP,9228,1718736
MO,Biden,Dem,10565,1253014
MO,Jorgensen,Lib,10566,41205
MO,Hawkins,Grn,10567,8283
MO,Blankenship,CST,10568,3919
MS,Trump,GOP,31907,756764
MS,Biden,Dem,32595,539398
MS,Jorgensen,Lib,32652,8026
MS,West,Ind,32653,3657
MS,Hawkins,Grn,32651,1498
MS,Collins,Ind,32636,1317
MS,Blankenship,AmC,32650,1279
MS,Carroll,ASP,32649,1161
MS,Pierce,Ind,32654,659
MT,Trump,GOP,34536,343602
MT,Biden,Dem,35547,244786
MT,Jorgensen,Lib,35838,15252
NC,Trump,GOP,43783,2758773
NC,Biden,Dem,44621,2684292
NC,Jorgensen,Lib,45326,48678
NC,Hawkins,Grn,45208,12195
NC,Blankenship,CST,44834,7549
ND,Trump,GOP,40669,235595
ND,Biden,Dem,41107,114902
ND,Jorgensen,Lib,41115,9393
NH,Biden,Dem,49452,424937
NH,Trump,GOP,49453,365660
NH,Jorgensen,Lib,49451,13236
NJ,Biden,Dem,39529,2608400
NJ,Trump,GOP,39528,1883313
NJ,Jorgensen,Lib,39585,31677
NJ,Hawkins,Grn,39584,14202
NJ,Hammons,Uty,39583,3255
NJ,Blankenship,CST,39582,2954
NJ,La Riva,PSL,39586,2928
NJ,De La Fuente,ALP,39581,2728
NM,Biden,Dem,38883,501614
NM,Trump,GOP,38878,401894
NM,Jorgensen,Lib,38912,12585
NM,Hawkins,Grn,39086,4426
NM,Tittle,CST,39084,1806
NM,La Riva,PSL,39085,1640
NV,Biden,Dem,37488,703486
NV,Trump,GOP,37487,669890
NV,Jorgensen,Lib,37503,14783
NV,None of these candidates,NPD,37505,14079
NV,Blankenship,IAP,37504,3138
NY,Biden,Dem,83621,5244886
NY,Trump,GOP,84296,3251997
NY,Jorgensen,Lib,84346,60383
NY,Hawkins,Grn,84345,32832
NY,Pierce,Inp,84347,22656
OH,Trump,GOP,45853,3154834
OH,Biden,Dem,46647,2679165
OH,Jorgensen,Lib,46913,67569
OH,Hawkins,Ind,46922,18812
OK,Trump,GOP,45322,1020280
OK,Biden,Dem,46413,503890
OK,Jorgensen,Lib,46427,24731
OK,West,Ind,46415,5597
OK,Simmons,Ind,46416,3654
OK,Pierce,Ind,46414,2547
OR,Biden,Dem,5789,1340383
OR,Trump,GOP,5792,958448
OR,Jorgensen,Lib,6026,41582
OR,Hawkins,PAG,6024,11831
OR,Hunter,Prg,6025,4988
PA,Biden,Dem,52480,3458229
PA,Trump,GOP,50814,3377674
PA,Jorgensen,Lib,52821,79380
RI,Biden,Dem,46718,307486
RI,Trump,GOP,46719,199922
RI,Jorgensen,Lib,46736,5053
RI,De La Fuente,ALP,46735,923
RI,La Riva,PSL,46734,847
RI,Carroll,ASP,46733,767
SC,Trump,GOP,48236,1385103
SC,Biden,Dem,49150,1091541
SC,Jorgensen,Lib,49152,27916
SC,Hawkins,Grn,49151,6907
SC,De La Fuente,ALP,49273,1862
SD,Trump,GOP,47682,261043
SD,Biden,Dem,48305,150471
SD,Jorgensen,Lib,48447,11095
TN,Trump,GOP,49749,1852475
TN,Biden,Dem,50581,1143711
TN,Jorgensen,Lib,50585,29877
TN,West,Ind,50584,10279
TN,Blankenship,Ind,50613,5365
TN,Hawkins,Ind,50595,4545
TN,Kennedy,Ind,50583,2576
TN,La Riva,Ind,50594,2301
TN,De La Fuente,Ind,50582,1860
TX,Trump,GOP,60390,5890347
TX,Biden,Dem,61613,5259126
TX,Jorgensen,Lib,62468,126243
TX,Hawkins,Grn,62467,33396
UT,Trump,GOP,55311,865140
UT,Biden,Dem,56065,560282
UT,Jorgensen,Lib,56069,38447
UT,West,Una,56066,7213
UT,Blankenship,CST,56071,5551
UT,Hawkins,Grn,56072,5053
UT,Pierce,Una,56067,2623
UT,McHugh,Una,56070,2229
UT,La Riva,Una,56068,1139
VA,Biden,Dem,51802,2413568
VA,Trump,GOP,51373,1962430
VA,Jorgensen,Lib,51820,64761
VT,Biden,Dem,53668,242820
VT,Trump,GOP,53669,112704
VT,Jorgensen,Lib,53681,3608
VT,Hawkins,Grn,53679,1310
VT,West,Ind,53691,1269
VT,Paige,Ind,53687,1175
VT,LaFontaine,Ind,53685,856
VT,Duncan,Ind,53678,213
VT,Carroll,ASP,53675,209
VT,Blankenship,CST,53672,208
VT,Kennedy,SWP,53684,195
VT,La Riva,LUn,53680,166
VT,Swing,Oth,53683,141
VT,Collins,Pro,53674,137
VT,McCormic,Oth,53686,126
VT,Pierce,Una,53689,100
VT,Segal,BdR,53690,65
VT,Huber,AVP,53677,54
VT,Kopitke,Ind,53682,53
VT,De La Fuente,ALP,53676,48
VT,Scalf,Ind,53688,29
WA,Biden,Dem,9288,2369612
WA,Trump,GOP,9289,1584651
WA,Jorgensen,Lib,9300,80500
WA,Hawkins,Grn,9301,18289
WA,La Riva,PSL,9302,4840
WA,Kennedy,SWP,9303,2487
WI,Biden,Dem,28080,1630866
WI,Trump,GOP,27062,1610184
WI,Jorgensen,Lib,28081,38491
WI,Carroll,ASP,28084,5259
WI,Blankenship,CST,28092,5146
WV,Trump,GOP,57048,545382
WV,Biden,Dem,58209,235984
WV,Jorgensen,Lib,58557,10687
WV,Hawkins,Mnt,58558,2599
WY,Trump,GOP,55501,193559
WY,Biden,Dem,55500,73491
WY,Jorgensen,Lib,55505,5768
WY,Pierce,Ind,55502,2208
ME,Biden,Dem,30791,435072
ME,Trump,GOP,29633,360737
ME,Jorgensen,Lib,30793,14152
ME,Hawkins,Grn,30855,8230
ME,De La Fuente,ALP,30792,1183
ME-District 1,Biden,Dem,30791,268193
ME-District 1,Trump,GOP,29633,164503
ME-District 1,Jorgensen,Lib,30793,7419
ME-District 1,Hawkins,Grn,30855,4694
ME-District 1,De La Fuente,ALP,30792,655
ME-District 2,Biden,Dem,30791,167182
ME-District 2,Trump,GOP,29633,196771
ME-District 2,Jorgensen,Lib,30793,6742
ME-District 2,Hawkins,Grn,30855,3539
ME-District 2,De La Fuente,ALP,30792,528
ME-At Large,Biden,Dem,30791,435072
ME-At Large,Trump,GOP,29633,360737
ME-At Large,Jorgensen,Lib,30793,14152
ME-At Large,Hawkins,Grn,30855,8230
ME-At Large,De La Fuente,ALP,30792,1183
NE,Trump,GOP,31489,556846
NE,Biden,Dem,31822,374583
NE,Jorgensen,Lib,31863,20283
NE-At Large,Trump,GOP,31489,556846
NE-At Large,Biden,Dem,31822,374583
NE-At Large,Jorgensen,Lib,31863,20283
NE-District 1,Trump,GOP,31489,181854
NE-District 1,Biden,Dem,31822,133275
NE-District 1,Jorgensen,Lib,31863,7558
NE-District 2,Trump,GOP,31489,152813
NE-District 2,Biden,Dem,31822,175454
NE-District 2,Jorgensen,Lib,31863,6846
NE-District 3,Trump,GOP,31489,222179
NE-District 3,Biden,Dem,31822,65854
NE-District 3,Jorgensen,Lib,31863,5879
